Title,Artist,Genre,Year,Beats_Per_Minute,Energy,Danceability,Liveness,Valence,Duration,Acousticness,Popularity
Rather Be (feat. Jess Glynne),Clean Bandit,Pop,2015,121,59,80,19,55,228,16,73
Hello,Adele,British Soul,2015,158,45,48,9,29,295,34,73
Dear Future Husband,Meghan Trainor,Pop,2015,79,78,66,32,83,184,38,72
The Heart Wants What It Wants,Selena Gomez,Pop,2015,83,79,62,14,62,227,5,72
"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",David Guetta,Pop,2015,86,73,60,33,53,193,24,72
Genie In a Bottle,Christina Aguilera,Pop,2015,176,80,63,14,91,218,21,72
Company,Justin Bieber,Pop,2015,95,80,59,8,43,208,13,72
Sing,Ed Sheeran,Pop,2015,120,67,82,6,94,235,30,71
Jealous - Remix,Nick Jonas,Pop,2015,93,71,68,44,45,222,1,70
Really Don't Care,Demi Lovato,Pop,2015,121,73,71,19,85,202,12,70
"Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)",Macklemore & Ryan Lewis,Pop,2015,110,61,83,29,71,293,9,70
Only Love Can Hurt Like This,Paloma Faith,British Soul,2015,91,89,57,33,31,233,10,69
Heartbeat Song,Kelly Clarkson,Pop,2015,149,80,49,6,48,199,1,69
Up,Olly Murs,Pop,2015,115,85,69,10,64,224,2,69
Trumpets,Jason Derulo,Pop,2015,82,70,63,10,64,217,56,69
Same Old Love,Selena Gomez,Pop,2015,98,59,67,21,44,229,2,69
I Want You To Know,Zedd,Complextro,2015,130,85,58,14,37,240,1,68
Lips Are Movin,Meghan Trainor,Pop,2015,139,83,78,11,95,183,5,68
I'll Show You,Justin Bieber,Pop,2015,192,61,36,18,8,200,5,68
Here,Alessia Cara,R&B,2015,120,82,38,8,33,199,8,68
I Lived,OneRepublic,Pop,2015,120,85,59,27,34,235,7,67
Fireball (feat. John Ryan),Pitbull,Pop,2015,123,94,69,5,79,235,9,67
Easy Love,Sigala,Pop,2015,124,94,68,12,65,230,18,67
The Feeling,Justin Bieber,Pop,2015,127,81,53,10,21,245,8,67
I Really Like You,Carly Rae Jepsen,Pop,2015,122,81,62,22,60,205,1,66
BO$$,Fifth Harmony,Pop,2015,103,87,81,5,74,171,1,66
Focus,Ariana Grande,Pop,2015,100,88,67,44,79,211,27,66
All About That Bass,Meghan Trainor,Pop,2015,134,88,81,11,96,189,5,65
On My Mind,Ellie Goulding,Pop,2015,155,71,70,9,74,213,26,65
Love Me Like You,Little Mix,Pop,2015,106,67,79,28,85,198,21,65
Broken Arrows,Avicii,Big Room,2015,116,67,63,10,29,233,5,65
Booty,Jennifer Lopez,Pop,2015,129,95,71,26,40,210,0,64
What Do You Mean? - Acoustic,Justin Bieber,Pop,2015,125,36,77,10,76,204,79,64
Mark My Words,Justin Bieber,Pop,2015,114,26,38,17,52,134,88,63
Lay It All on Me,Rudimental,Pop,2015,123,75,67,19,48,242,14,62
American Oxygen,Rihanna,Pop,2015,78,75,39,33,48,320,5,61
Bang Bang,Jessie J,Pop,2015,150,75,71,38,73,199,27,61
Reality - Radio Edit,Lost Frequencies,Electronic,2015,122,70,71,7,60,159,2,61
Alive,Sia,Australian Dance,2015,100,76,51,11,44,264,25,61
