Title,Artist,Genre,Year,Beats_Per_Minute,Energy,Danceability,Liveness,Valence,Duration,Acousticness,Popularity
Nervous,Shawn Mendes,Pop,2018,122,62,84,13,74,164,4,71
End Game,Taylor Swift,Pop,2018,159,59,65,11,15,245,1,70
Mi Gente (feat. Beyoncé),J Balvin,Latin,2018,105,72,76,23,47,210,2,68
Lemon,N.E.R.D,Hip-Hop,2018,95,73,92,12,20,220,0,68
For You (With Rita Ora),Liam Payne,Pop,2018,113,80,54,42,18,243,2,67
Want To,Dua Lipa,Pop,2018,92,69,57,6,32,212,8,67
What I Need (feat. Kehlani),Hayley Kiyoko,Pop,2018,104,79,63,16,41,220,5,67
Wait,Maroon 5,Pop,2018,126,60,66,11,45,191,10,67
What About Us,P!nk,Pop,2018,114,59,39,9,19,272,3,66
2U (feat. Justin Bieber),David Guetta,Pop,2018,145,61,53,23,53,195,23,65
Walk On Water (feat. Beyoncé),Eminem,Hip-Hop,2018,82,44,48,64,62,304,81,65
This Town,Niall Horan,Pop,2018,112,41,68,12,20,233,70,64
"Girls (feat. Cardi B, Bebe Rexha & Charli XCX)",Rita Ora,Pop,2018,94,69,73,10,42,221,2,64
MOVE TO MIAMI,Enrique Iglesias,Pop,2018,100,87,76,7,90,169,3,64
Filthy,Justin Timberlake,Pop,2018,97,58,75,25,65,294,4,62
Never Be the Same - Radio Edit,Camila Cabello,Pop,2018,130,69,63,12,25,227,16,57
Ferrari,Bebe Rexha,Pop,2018,77,48,58,10,42,213,2,57
Supplies,Justin Timberlake,Pop,2018,120,55,79,13,23,226,1,57
Boom Boom,RedOne,Pop,2018,110,76,75,20,58,248,0,53
...Ready For It? - BloodPop® Remix,Taylor Swift,Pop,2018,160,84,58,10,50,190,13,52
Drip (feat. Migos),Cardi B,Pop,2018,130,59,97,8,27,264,5,45
Tell Me You Love Me - NOTD Remix,Demi Lovato,Pop,2018,102,77,58,9,76,182,5,44
Memories,Maroon 5,Pop,2019,91,32,76,8,57,189,84,99
Lose You To Love Me,Selena Gomez,Pop,2019,102,34,51,21,9,206,58,97
Someone You Loved,Lewis Capaldi,Pop,2019,110,41,50,11,45,182,75,96
Señorita,Shawn Mendes,Pop,2019,117,54,76,9,75,191,4,95
How Do You Sleep?,Sam Smith,Pop,2019,111,68,48,8,35,202,15,93
South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,Pop,2019,98,62,86,9,67,204,15,92
Trampoline (with ZAYN),SHAED,Electronic,2019,127,46,62,14,50,184,56,92
Higher Love,Kygo,Electronic,2019,104,68,69,10,40,228,2,88
Only Human,Jonas Brothers,Boy Band,2019,94,50,80,6,87,183,11,87
Beautiful People (feat. Khalid),Ed Sheeran,Pop,2019,93,65,64,8,55,198,12,86
Sucker,Jonas Brothers,Boy Band,2019,138,73,84,11,95,181,4,86
Don't Call Me Up,Mabel,Pop,2019,99,88,67,8,23,178,30,86
I Don't Care (with Justin Bieber),Ed Sheeran,Pop,2019,102,68,80,9,84,220,9,85
Talk (feat. Disclosure),Khalid,R&B,2019,136,40,90,6,35,198,5,84
Giant (with Rag'n'Bone Man),Calvin Harris,Pop,2019,122,89,81,8,61,229,2,84
Takeaway,The Chainsmokers,Electronic,2019,100,51,53,10,35,210,13,83
All Around The World (La La La),R3HAB,Big Room,2019,125,86,73,11,52,148,48,82
Girls Like You (feat. Cardi B),Maroon 5,Pop,2019,125,54,85,13,45,236,57,81
Call You Mine,The Chainsmokers,Electronic,2019,104,70,59,34,52,218,20,81
No Guidance (feat. Drake),Chris Brown,Pop,2019,93,45,70,16,14,261,12,81
Antisocial (with Travis Scott),Ed Sheeran,Pop,2019,152,82,72,36,91,162,13,78
"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",DJ Snake,Electronic,2019,96,80,84,6,62,213,16,77
Con Calma - Remix,Daddy Yankee,Latin,2019,94,87,74,4,61,181,17,76
Find U Again (feat. Camila Cabello),Mark Ronson,Pop,2019,104,66,61,20,16,176,1,75
Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,Pop,2019,95,79,75,7,61,206,21,75
"No Brainer (feat. Justin Bieber, Chance the Rapper & Quavo)",DJ Khaled,Pop,2019,136,76,53,9,65,260,7,70
Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,Pop,2019,114,79,60,42,24,217,1,69
Kills You Slowly,The Chainsmokers,Electronic,2019,150,44,70,13,23,213,6,67
